rel_time,coef,se,ci_low,ci_high
-12,0.017124340496796495,0.011330696345442452,-0.005083824340270712,0.039332505333863704
-11,-0.02311346060055236,0.009553740834552283,-0.04183879263627484,-0.004388128564829886
-10,-0.015450587152405632,0.008424358309001208,-0.031962329438048,0.0010611551332367353
-9,-0.008972244624588897,0.006537286947474085,-0.021785327041638103,0.003840837792460309
-8,0.008999120664790944,0.00829723200468441,-0.007263454064390502,0.02526169539397239
-7,-0.0011423730472536163,0.009090948616001964,-0.018960632334617467,0.016675886240110235
-6,0.0009752796554387266,0.0066794605732168,-0.012116463068066201,0.014067022378943654
-5,0.005204585880619471,0.009390760037708052,-0.013201303793288311,0.023610475554527253
-4,-0.004365531438086517,0.0070018163184622385,-0.018089091422272503,0.00935802854609947
-3,0.005332870934587133,0.009073697059525168,-0.012451575302082196,0.023117317171256462
-2,0.011864678129013734,0.008169353789697903,-0.004147255298794155,0.027876611556821623
0,0.01876587766656715,0.009036731513699438,0.0010538838997162514,0.036477871433418046
1,0.054450097348939186,0.00760403198513858,0.039546194658067566,0.0693540000398108
2,0.06816704079414791,0.00806344666903029,0.052362685322848546,0.08397139626544728
3,0.08247464162838436,0.00785673238359422,0.06707544615653968,0.09787383710022904
4,0.09751314984101678,0.006989197075530772,0.08381432357297647,0.11121197610905709
5,0.09003916822557342,0.008189903204838677,0.07398695794408962,0.10609137850705723
6,0.08542152535569647,0.009631813550261922,0.06654317079718311,0.10429987991420983
7,0.08322411224518594,0.008953132494825529,0.06567597255532791,0.10077225193504398
8,0.08340183966569004,0.008072541691873821,0.06757965794961734,0.09922402138176273
9,0.08919018508246787,0.009825699575540685,0.06993181391440813,0.10844855625052761
10,0.08732566918378536,0.00917004440565531,0.06935238214870094,0.10529895621886977
11,0.09221487932350059,0.009957428456087459,0.07269831954956917,0.11173143909743201
12,0.20206135707358114,0.027325002529331403,0.1485043521160916,0.2556183620310707
