market,cohort,week,launch_week,treated,weeks_since_launch,log_gmv,gmv
mkt_32,early,0,30.0,0,,8.897341615901976,7312.50822190075
mkt_32,early,1,30.0,0,,8.870944709631978,7122.00602374923
mkt_32,early,2,30.0,0,,8.867539829585121,7097.797684179248
mkt_32,early,3,30.0,0,,8.897220445698208,7311.622217469203
mkt_32,early,4,30.0,0,,8.920203629020815,7481.612548023755
mkt_32,early,5,30.0,0,,8.923034708812759,7502.823601044171
mkt_32,early,6,30.0,0,,8.896430050155084,7305.845427130921
mkt_32,early,7,30.0,0,,8.93152089210016,7566.76486219789
mkt_32,early,8,30.0,0,,8.948637180981425,7697.3945540766135
mkt_32,early,9,30.0,0,,9.016812690888745,8240.470253616362
mkt_32,early,10,30.0,0,,9.014384083026494,8220.481664816356
mkt_32,early,11,30.0,0,,8.952330851657536,7725.878767891456
mkt_32,early,12,30.0,0,,8.975483147180876,7906.837316017975
mkt_32,early,13,30.0,0,,8.957165984650624,7763.324874723168
mkt_32,early,14,30.0,0,,8.983729928632084,7972.31288561072
mkt_32,early,15,30.0,0,,9.015006232480713,8225.597624278218
mkt_32,early,16,30.0,0,,9.038460818347769,8420.805926125386
mkt_32,early,17,30.0,0,,8.992397252769013,8041.7118226008515
mkt_32,early,18,30.0,0,,8.99582285717698,8069.306783793276
mkt_32,early,19,30.0,0,,8.954561803493588,7743.134072033185
mkt_32,early,20,30.0,0,,9.009796016429672,8182.851937337971
mkt_32,early,21,30.0,0,,8.986699199348147,7996.0200198329985
mkt_32,early,22,30.0,0,,9.001897664756521,8118.475463732824
mkt_32,early,23,30.0,0,,8.997556901507897,8083.31145833015
mkt_32,early,24,30.0,0,,9.021002787842244,8275.071062670142
mkt_32,early,25,30.0,0,,8.98443570818491,7977.941567104619
mkt_32,early,26,30.0,0,,8.992051244732266,8038.929807008662
mkt_32,early,27,30.0,0,,9.080358134600758,8781.110283385668
mkt_32,early,28,30.0,0,,8.995490338619188,8066.624035595643
mkt_32,early,29,30.0,0,,8.991334000766217,8033.166000385948
mkt_32,early,30,30.0,1,0.0,9.079954094169059,8777.563076451743
mkt_32,early,31,30.0,1,1.0,9.12302086360158,9163.842564090744
mkt_32,early,32,30.0,1,2.0,9.039834846926885,8432.384306818438
mkt_32,early,33,30.0,1,3.0,9.087513234409682,8844.16531741675
mkt_32,early,34,30.0,1,4.0,9.103068021702649,8982.809925983878
mkt_32,early,35,30.0,1,5.0,9.1393201955451,9314.430987405116
mkt_32,early,36,30.0,1,6.0,9.083714891227403,8810.635860883634
mkt_32,early,37,30.0,1,7.0,9.105286714294197,9002.762145554085
mkt_32,early,38,30.0,1,8.0,9.141155045239536,9331.537257173864
mkt_32,early,39,30.0,1,9.0,9.133590700142541,9261.216589282887
mkt_32,early,40,30.0,1,10.0,9.119415782266056,9130.86564425604
mkt_32,early,41,30.0,1,11.0,9.127828535256084,9208.005385340572
mkt_32,early,42,30.0,1,12.0,9.103529999259406,8986.960741284227
mkt_32,early,43,30.0,1,13.0,9.146434115363682,9380.929354185168
mkt_32,early,44,30.0,1,14.0,9.14545466197969,9371.745669413958
mkt_32,early,45,30.0,1,15.0,9.171214999036012,9616.301391905126
mkt_32,early,46,30.0,1,16.0,9.164189594253429,9548.979739939003
mkt_32,early,47,30.0,1,17.0,9.198015438446877,9877.507073886081
mkt_32,early,48,30.0,1,18.0,9.215001807254822,10046.723166691305
mkt_32,early,49,30.0,1,19.0,9.206474541115425,9961.416318437488
mkt_32,early,50,30.0,1,20.0,9.220936427835097,10106.52392866329
mkt_32,early,51,30.0,1,21.0,9.227772612602344,10175.850688875777
mkt_32,early,52,30.0,1,22.0,9.23956999044413,10296.609965134794
mkt_32,early,53,30.0,1,23.0,9.244132641957009,10343.697147684536
mkt_32,early,54,30.0,1,24.0,9.281552969592227,10738.094909410518
mkt_32,early,55,30.0,1,25.0,9.277798129090112,10697.850678346525
mkt_32,early,56,30.0,1,26.0,9.346107274651555,11454.148693331197
mkt_32,early,57,30.0,1,27.0,9.346565203146412,11459.395075544477
mkt_32,early,58,30.0,1,28.0,9.33675172024341,11347.488492651204
mkt_32,early,59,30.0,1,29.0,9.32427540297717,11206.793131057377
mkt_32,early,60,30.0,1,30.0,9.328372633479018,11252.80414019018
mkt_32,early,61,30.0,1,31.0,9.404831124259163,12146.92249702911
mkt_32,early,62,30.0,1,32.0,9.383932918404332,11895.70772201521
mkt_32,early,63,30.0,1,33.0,9.394291747219016,12019.573767897735
mkt_32,early,64,30.0,1,34.0,9.34116861446308,11397.720000947827
mkt_32,early,65,30.0,1,35.0,9.412961128470593,12246.07955557318
mkt_32,early,66,30.0,1,36.0,9.399477206524601,12082.062655311158
mkt_32,early,67,30.0,1,37.0,9.370044688624208,11731.639346580738
mkt_32,early,68,30.0,1,38.0,9.389853925446735,11966.35122516467
mkt_32,early,69,30.0,1,39.0,9.403898331941315,12135.597223923447
mkt_32,early,70,30.0,1,40.0,9.396366194134123,12044.533615610115
mkt_32,early,71,30.0,1,41.0,9.392873876546743,12002.543642869465
mkt_32,early,72,30.0,1,42.0,9.405316509219073,12152.819861648628
mkt_32,early,73,30.0,1,43.0,9.41579797605826,12280.869139861552
mkt_32,early,74,30.0,1,44.0,9.445193774195708,12647.233495062483
mkt_32,early,75,30.0,1,45.0,9.48211375788561,13122.895843022243
mkt_32,early,76,30.0,1,46.0,9.376424512497602,11806.724399387544
mkt_32,early,77,30.0,1,47.0,9.422904694840181,12368.45668462377
mkt_32,early,78,30.0,1,48.0,9.435784401566572,12528.78908008244
mkt_32,early,79,30.0,1,49.0,9.43483316500785,12516.876904419674
mkt_32,early,80,30.0,1,50.0,9.41667056278799,12291.589940036298
mkt_32,early,81,30.0,1,51.0,9.379579545644992,11844.033831528372
mkt_32,early,82,30.0,1,52.0,9.43231302254929,12485.372306196192
mkt_32,early,83,30.0,1,53.0,9.475491898278937,13036.284948193113
mkt_32,early,84,30.0,1,54.0,9.39711720844916,12053.582630317856
mkt_32,early,85,30.0,1,55.0,9.458804435213809,12820.547486445923
mkt_32,early,86,30.0,1,56.0,9.426024230708244,12407.100773355725
mkt_32,early,87,30.0,1,57.0,9.426498751802429,12412.989601466445
mkt_32,early,88,30.0,1,58.0,9.403279744192544,12128.09261352603
mkt_32,early,89,30.0,1,59.0,9.426088033427343,12407.89240537507
mkt_32,early,90,30.0,1,60.0,9.483435984069633,13140.258755835459
mkt_32,early,91,30.0,1,61.0,9.472884545903634,13002.339033380289
mkt_32,early,92,30.0,1,62.0,9.514853153168465,13559.641907828833
mkt_32,early,93,30.0,1,63.0,9.506039444318063,13440.656294461372
mkt_32,early,94,30.0,1,64.0,9.48923413502343,13216.669265440873
mkt_32,early,95,30.0,1,65.0,9.52550884630064,13704.901839162789
