rel_time,coef,se,ci_low,ci_high
-12,-0.005947575533690918,0.013319164858055264,-0.032053138655479235,0.0201579875880974
-11,0.00990244210958767,0.016469302695031548,-0.022377391172674163,0.0421822753918495
-10,0.009196823831690473,0.01684646485088768,-0.023822247276049383,0.04221589493943033
-9,0.0034972779920878334,0.015110873996361341,-0.026120035040780396,0.033114591024956064
-8,0.02136835662153984,0.016306105736619423,-0.01059161062223423,0.05332832386531391
-7,-0.016703690282039555,0.01677560800954851,-0.04958388198075463,0.01617650141667552
-6,0.009045056532495183,0.013957821990684176,-0.0183122745692458,0.036402387634236165
-5,0.030473397848756717,0.015421020740115175,0.0002481971981309755,0.06069859849938246
-4,0.001497334172643014,0.01773898607064145,-0.03327107852581423,0.036265746871100256
-3,0.02622684259893879,0.017880680857840305,-0.008819291882428203,0.06127297708030578
-2,0.01923021752977115,0.01690148446227399,-0.01389669201628587,0.05235712707582817
0,0.032641151375331356,0.018731322932419383,-0.00407224157221063,0.06935454432287334
1,0.06087875965677984,0.01302335474064877,0.03535298436510825,0.08640453494845143
2,0.07374738520344708,0.020162474431444213,0.03422893531781642,0.11326583508907773
3,0.09399641833301174,0.013199959566771986,0.06812449758213865,0.11986833908388483
4,0.10062245554514412,0.010623232863098842,0.0798009191334704,0.12144399195681785
5,0.09057805135615177,0.013606936286409521,0.06390845623478911,0.11724764647751443
6,0.09694946141653166,0.02064949984099292,0.056476441728185535,0.13742248110487779
7,0.09425362297100354,0.016446996553971936,0.06201750972521854,0.12648973621678852
8,0.07227495518204882,0.010868372947508061,0.05097294420493302,0.09357696615916462
9,0.08299872804795391,0.015853677665103517,0.05192551982435102,0.1140719362715568
10,0.09315551474037058,0.015076794755735558,0.06360499701912889,0.12270603246161227
11,0.09482027781305369,0.017963385525398796,0.05961204218327205,0.13002851344283534
12,0.10371864174603113,0.01455535183793256,0.07519015214368331,0.13224713134837895
